Lat,Long,FID,Atr_Number,Descriptio,Co_Number,County,Road,District,Unit,Configurat,Lanes,Speed,Classifica,WIM
41.3836,-95.8994,0,100,Honey Creek,78,POTTAWATTAMIE,I 29,4,ADR+,LPL,4,Y,13 CLASS,0
40.9458,-95.8006,1,102,Pacific Junction,65,MILLS,I 29,4,ADR+,LL,4,Y,3 CLASS,0
41.6956,-92.5783,2,103,Grinnell,79,POWESHIEK,I 80,1,WAVE,RADAR,4,Y,3 CLASS,0
42.3539,-93.5706,3,104,Jewell,40,HAMILTON,I 35,1,WAVE,WLW,4,Y,13 CLASS,1
41.9792,-96.1047,4,105,Onawa I 29,67,MONONA,I 29,3,WAVE,RADAR,4,Y,3 CLASS,0
40.7572,-93.8369,5,106,Leon I 35,27,DECATUR,I 35,5,ADR+,LL,4,Y,3 CLASS,0
43.2422,-93.3489,6,109,Hanlontown,17,CERRO GORDO,I 35,2,ADR+,LL,4,Y,3 CLASS,0
41.4986,-95.4792,7,110,Shelby,78,POTTAWATTAMIE,I 80,4,ADR,LL,4,Y,3 CLASS,0
41.6867,-91.9681,8,111,Williamsburg,48,IOWA,I 80,6,ADR,WLW,4,Y,13 CLASS,1
42.2606,-91.91,9,113,Brandon,6,BENTON,I 380,6,ADR+,WLW,4,Y,13 CLASS,1
41.4969,-94.9111,10,115,Atlantic I 80,15,CASS,I 80,4,ADR+,LL,4,Y,3 CLASS,0
41.5847,-93.8231,11,116,Waukee,25,DALLAS,I 80,4,ADR+,LL,4,Y,3 CLASS,0
41.6569,-93.5431,12,117,Altoona,77,POLK,I 80,1,WAVE,RADAR,6,Y,3 CLASS,0
41.5975,-90.4306,13,119,LeClaire,82,SCOTT,I 80,6,ADR+,WLW,4,Y,13 CLASS,1
41.6586,-91.205,14,120,Tipton,16,CEDAR,I 80,6,ADR,WLW,4,Y,13 CLASS,1
42.5919,-93.5256,15,121,Dows,99,WRIGHT,I 35,2,ADR+,WLW,4,Y,13 CLASS,1
41.3684,-93.7807,16,122,Cumming,91,WARREN,I 35,5,WAVE,RADAR,4,Y,3 CLASS,0
41.6797,-93.4067,17,123,Mitchellville,77,POLK,I 80,1,ADR+,WLW,4,Y,13 CLASS,1
41.4987,-95.7079,18,124,Beebeetown,78,POTTAWATTAMIE,I 680,4,ADR,LPL,4,Y,13 CLASS,0
41.7753,-91.6465,19,125,North Liberty,52,JOHNSON,I 380,6,ADR+,WLW,4,Y,13 CLASS,1
41.9494,-91.6708,20,701,Cedar Rapids Wilson,57,LINN,I 380,6,WAVE,RADAR,6,Y,3 CLASS,0
42.0003,-91.6667,21,703,Cedar Rapids Coldstream,57,LINN,I 380,6,WAVE,RADAR,8,Y,3 CLASS,0
41.2333,-95.8639,22,704,Council Bluffs I 29,78,POTTAWATTAMIE,I 29/80,4,WAVE,RADAR,5,Y,3 CLASS,0
41.5464,-90.5192,23,705,Bettendorf,82,SCOTT,I 74,6,ADR,LPL,4,Y,13 CLASS,0
42.4949,-96.4757,24,715,Sioux City I 29,97,WOODBURY,I 29,3,OUT,WLW,4,Y,13 CLASS,1
41.4869,-90.6428,25,708,Davenport I 280,82,SCOTT,I 280,6,ADR+,WLW,4,Y,13 CLASS,1
41.7071,-93.5764,26,709,Des Moines Oralabor,77,POLK,I 35,1,ADR+,ITS,7,N,3 CLASS,0
41.6075,-93.579,27,714,Des Moines 2nd Ave,77,POLK,I 235,1,ADR+,ITS,7,N,3 CLASS,0
43.4225,-95.11,28,802,Spirit Lake,30,DICKINSON,US 71,3,ADR,L,4,N,VOLUME,0
42.4897,-96.3925,29,803,Sioux City IA 12,97,WOODBURY,IA 12,3,WAVE,RADAR,4,Y,3 CLASS,0
42.7331,-94.6792,30,804,Pocahontas,76,POCAHONTAS,IA 4,3,ADR,LPL,2,Y,13 CLASS,0
40.9919,-94.7322,31,805,Corning,2,ADAMS,IA 148,4,ADR+,L,2,N,VOLUME,0
41.6156,-93.715,32,806,Windsor Heights,77,POLK,US 6,1,ADR+,L,4,N,VOLUME,0
41.7264,-94.9372,33,808,Audubon,5,AUDUBON,US 71,4,ADR+,L,4,N,3 CLASS,0
42.0633,-92.9078,34,809,Marshalltown,64,MARSHALL,IA 14,1,ADR,L,4,N,VOLUME,0
41.3564,-93.5817,35,810,Indianola,91,WARREN,IA 92,5,ADR,L,3,N,VOLUME,0
41.2739,-95.8675,36,811,Council Bluffs IA 92,78,POTTAWATTAMIE,IA 192,4,ADR+,L,4,N,3 CLASS,0
43.1492,-93.1875,37,812,Mason City IA 122,17,CERRO GORDO,IA 122,2,ADR+,L,4,N,3 CLASS,0
41.5603,-90.6061,38,813,Davenport US 6,82,SCOTT,US 6,6,ADR+,L,4,N,VOLUME,0
41.9531,-91.7228,39,815,Cedar Rapids IA 922,57,LINN,IA 922,6,ADR,WAVE,4,Y,3 CLASS,0
40.8162,-91.1574,40,816,West Burlington,29,DES MOINES,US 34,5,ADR+,LL,4,Y,3 CLASS,0
43.2842,-92.7967,41,819,Osage,66,MITCHELL,US 218,2,ADR,L,4,N,VOLUME,0
42.6756,-93.9064,42,820,Eagle Grove,99,WRIGHT,IA 17,2,ADR,L,4,N,3 CLASS,0
42.0075,-94.3772,43,821,Jefferson,37,GREENE,IA 4,1,ADR,L,4,N,VOLUME,0
41.6414,-91.5103,44,823,Iowa City US 6,52,JOHNSON,US 6,6,ADR+,L,4,N,VOLUME,0
42.0372,-93.6206,45,824,Ames US 69,85,STORY,US 69,1,ADR,L,4,N,VOLUME,0
41.6842,-93.4669,46,826,Bondurant,77,POLK,US 65,1,ADR,LL,4,Y,3 CLASS,0
42.5156,-90.6425,47,827,Dubuque US 61,31,DUBUQUE,US 61/151,6,WAVE,RADAR,5,Y,3 CLASS,0
42.6604,-91.9103,48,828,Oelwein,33,FAYETTE,IA 150,2,ADR,LPL,4,Y,13 CLASS,0
41.284,-92.6239,49,830,Oskaloosa,62,MAHASKA,IA 23,5,ADR+,LPL,2,Y,13 CLASS,0
41.5099,-93.6502,50,831,Des Moines  IA 5,91,WARREN,IA 5,5,ADR+,ITS,6,N,VOLUME,0
